Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,year
262,10-04-2012,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,165.0,8.0,123.0,9.0,Kolkata Knight Riders,Runs,42.0,Lakshmipathy Balaji,2012
263,10-04-2012,"Feroz Shah Kotla, Delhi",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Group,110.0,8.0,111.0,2.0,Delhi Daredevils,Wickets,8.0,Morne Morkel,2012
264,11-04-2012,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Group,197.0,6.0,170.0,10.0,Mumbai Indians,Runs,27.0,Kieron Pollard,2012
265,12-04-2012,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Group,205.0,8.0,208.0,5.0,Chennai Super Kings,Wickets,5.0,Francois du Plessis,2012
266,12-04-2012,"Punjab Cricket Association Stadium, Mohali",Pune Warriors India,Kings XI Punjab,Kings XI Punjab,Field,Group,115.0,10.0,116.0,3.0,Kings XI Punjab,Wickets,7.0,Dimitri Mascarenhas,2012
267,13-04-2012,"Eden Gardens, Kolkata",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Group,131.0,5.0,137.0,5.0,Kolkata Knight Riders,Wickets,5.0,Shakib Al Hasan,2012
268,14-04-2012,"Subrata Roy Sahara Stadium, Pune",Chennai Super Kings,Pune Warriors India,Chennai Super Kings,Bat,Group,155.0,5.0,156.0,3.0,Pune Warriors India,Wickets,7.0,Jesse Ryder,2012
269,15-04-2012,"Eden Gardens, Kolkata",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,134.0,9.0,132.0,7.0,Kings XI Punjab,Runs,2.0,Sunil Narine,2012
270,15-04-2012,"M. Chinnaswamy Stadium, Bangalore",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Group,195.0,2.0,136.0,10.0,Rajasthan Royals,Runs,59.0,Ajinkya Rahane,2012
271,16-04-2012,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Group,92.0,10.0,93.0,3.0,Delhi Daredevils,Wickets,7.0,Shahbaz Nadeem,2012
272,17-04-2012,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,Rajasthan Royals,Deccan Chargers,Bat,Group,196.0,2.0,197.0,5.0,Rajasthan Royals,Wickets,5.0,Brad Hodge,2012
273,17-04-2012,"M. Chinnaswamy Stadium, Bangalore",Pune Warriors India,Royal Challengers Bangalore,Pune Warriors India,Bat,Group,182.0,6.0,186.0,4.0,Royal Challengers Bangalore,Wickets,6.0,Chris Gayle,2012
274,18-04-2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Group,124.0,7.0,127.0,2.0,Kolkata Knight Riders,Wickets,8.0,Gautam Gambhir,2012
275,19-04-2012,"Feroz Shah Kotla, Delhi",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,157.0,8.0,162.0,5.0,Delhi Daredevils,Wickets,5.0,Kevin Pietersen,2012
276,19-04-2012,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Pune Warriors India,Pune Warriors India,Field,Group,164.0,5.0,151.0,7.0,Chennai Super Kings,Runs,13.0,Nuwan Kulasekara,2012
277,20-04-2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,163.0,6.0,166.0,5.0,Royal Challengers Bangalore,Wickets,5.0,Chris Gayle,2012
278,21-04-2012,"M. A. Chidambaram Stadium, Chennai",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Group,146.0,4.0,147.0,3.0,Chennai Super Kings,Wickets,7.0,Francois du Plessis,2012
279,21-04-2012,"Feroz Shah Kotla, Delhi",Pune Warriors India,Delhi Daredevils,Delhi Daredevils,Field,Group,192.0,3.0,172.0,7.0,Pune Warriors India,Runs,20.0,Sourav Ganguly,2012
280,22-04-2012,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Group,163.0,6.0,164.0,4.0,Kings XI Punjab,Wickets,6.0,Shaun Marsh,2012
281,22-04-2012,"Barabati Stadium, Cuttack",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,126.0,7.0,127.0,5.0,Kolkata Knight Riders,Wickets,5.0,Brett Lee,2012
282,23-04-2012,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Group,189.0,3.0,143.0,7.0,Royal Challengers Bangalore,Runs,46.0,AB de Villiers,2012
283,24-04-2012,"Subrata Roy Sahara Stadium, Pune",Pune Warriors India,Delhi Daredevils,Pune Warriors India,Bat,Group,146.0,2.0,148.0,2.0,Delhi Daredevils,Wickets,8.0,Virender Sehwag,2012
285,25-04-2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Group,168.0,3.0,171.0,6.0,Mumbai Indians,Wickets,4.0,Ambati Rayudu,2012
287,26-04-2012,"Subrata Roy Sahara Stadium, Pune",Deccan Chargers,Pune Warriors India,Deccan Chargers,Bat,Group,177.0,4.0,159.0,7.0,Deccan Chargers,Runs,18.0,Cameron White,2012
288,27-04-2012,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Mumbai Indians,Mumbai Indians,Field,Group,207.0,5.0,170.0,9.0,Delhi Daredevils,Runs,37.0,Virender Sehwag,2012
289,28-04-2012,"M. A. Chidambaram Stadium, Chennai",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Group,156.0,8.0,149.0,8.0,Kings XI Punjab,Runs,7.0,Mandeep Singh,2012
290,28-04-2012,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Bat,Group,190.0,4.0,143.0,6.0,Kolkata Knight Riders,Runs,47.0,Gautam Gambhir,2012
291,29-04-2012,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Group,152.0,6.0,151.0,3.0,Delhi Daredevils,Runs,1.0,Virender Sehwag,2012
292,29-04-2012,"Wankhede Stadium, Mumbai",Deccan Chargers,Mumbai Indians,Mumbai Indians,Field,Group,100.0,10.0,101.0,5.0,Mumbai Indians,Wickets,5.0,Dale Steyn,2012
